order_id,user_id,amount,ts
100046,5263,290.73,2024-01-01T00:46:00Z
100047,7039,211.56,2024-01-01T00:47:00Z
100048,7557,320.44,2024-01-01T00:48:00Z
100049,2025,472.99,2024-01-01T00:49:00Z
100050,1528,406.27,2024-01-01T00:50:00Z
100051,1366,295.77,2024-01-01T00:51:00Z
100052,6535,410.51,2024-01-01T00:52:00Z
100053,4841,152.32,2024-01-01T00:53:00Z
100054,3518,401.4,2024-01-01T00:54:00Z
100055,8255,439.32,2024-01-01T00:55:00Z
100056,4601,250.68,2024-01-01T00:56:00Z
100057,410,278.08,2024-01-01T00:57:00Z
100058,5899,157.2,2024-01-01T00:58:00Z
100059,9387,176.86,2024-01-01T00:59:00Z
100060,8249,91.63,2024-01-01T01:00:00Z
100061,9991,270.8,2024-01-01T01:01:00Z
100062,9939,31.21,2024-01-01T01:02:00Z
100063,6961,493.64,2024-01-01T01:03:00Z
100064,6649,387.97,2024-01-01T01:04:00Z
100065,7206,450.72,2024-01-01T01:05:00Z
100066,4693,319.32,2024-01-01T01:06:00Z
100067,8265,241.95,2024-01-01T01:07:00Z
100068,6264,95.21,2024-01-01T01:08:00Z
100069,2007,446.43,2024-01-01T01:09:00Z
100070,8933,218.9,2024-01-01T01:10:00Z
100071,9927,120.07,2024-01-01T01:11:00Z
100072,4106,288.41,2024-01-01T01:12:00Z
100073,8736,142.2,2024-01-01T01:13:00Z
100074,9460,256.02,2024-01-01T01:14:00Z
100075,5606,84.61,2024-01-01T01:15:00Z
100076,1917,377.0,2024-01-01T01:16:00Z
100077,606,124.4,2024-01-01T01:17:00Z
100078,298,114.16,2024-01-01T01:18:00Z
100079,6162,408.52,2024-01-01T01:19:00Z
100080,8694,217.82,2024-01-01T01:20:00Z
100081,8449,443.48,2024-01-01T01:21:00Z
100082,3855,453.06,2024-01-01T01:22:00Z
100083,7486,419.06,2024-01-01T01:23:00Z
100084,9148,347.74,2024-01-01T01:24:00Z
100085,1260,450.6,2024-01-01T01:25:00Z
100086,5706,246.74,2024-01-01T01:26:00Z
100087,5383,235.65,2024-01-01T01:27:00Z
100088,7660,128.32,2024-01-01T01:28:00Z
100089,8327,90.91,2024-01-01T01:29:00Z
100090,953,417.14,2024-01-01T01:30:00Z
100091,7432,352.48,2024-01-01T01:31:00Z
100092,7544,353.77,2024-01-01T01:32:00Z
100093,121,165.14,2024-01-01T01:33:00Z
100094,542,459.48,2024-01-01T01:34:00Z
100095,602,295.04,2024-01-01T01:35:00Z
100096,5176,450.69,2024-01-01T01:36:00Z
100097,6098,263.6,2024-01-01T01:37:00Z
100098,2026,482.84,2024-01-01T01:38:00Z
100099,9076,107.98,2024-01-01T01:39:00Z
100100,4456,27.86,2024-01-01T01:40:00Z
100101,6602,257.73,2024-01-01T01:41:00Z
100102,6584,377.93,2024-01-01T01:42:00Z
100103,4009,369.42,2024-01-01T01:43:00Z
100104,1262,133.93,2024-01-01T01:44:00Z
100105,7590,160.13,2024-01-01T01:45:00Z
100106,8175,414.89,2024-01-01T01:46:00Z
100107,6189,187.02,2024-01-01T01:47:00Z
100108,2941,39.65,2024-01-01T01:48:00Z
100109,619,30.96,2024-01-01T01:49:00Z
100110,8974,216.6,2024-01-01T01:50:00Z
100111,7087,61.75,2024-01-01T01:51:00Z
100112,6824,267.93,2024-01-01T01:52:00Z
100113,5934,264.15,2024-01-01T01:53:00Z
100114,9798,211.52,2024-01-01T01:54:00Z
100115,1578,271.96,2024-01-01T01:55:00Z
100116,2241,45.98,2024-01-01T01:56:00Z
100117,3422,86.89,2024-01-01T01:57:00Z
100118,4288,403.55,2024-01-01T01:58:00Z
100119,4116,256.63,2024-01-01T01:59:00Z
100120,6192,438.53,2024-01-01T02:00:00Z
100121,7238,424.05,2024-01-01T02:01:00Z
100122,5885,184.51,2024-01-01T02:02:00Z
100123,7156,56.88,2024-01-01T02:03:00Z
100124,8658,22.56,2024-01-01T02:04:00Z
100125,3318,328.91,2024-01-01T02:05:00Z
100126,5601,385.97,2024-01-01T02:06:00Z
100127,9426,90.58,2024-01-01T02:07:00Z
100128,1218,288.8,2024-01-01T02:08:00Z
100129,1962,76.52,2024-01-01T02:09:00Z
100130,6100,235.96,2024-01-01T02:10:00Z
100131,9930,355.38,2024-01-01T02:11:00Z
100132,9549,200.1,2024-01-01T02:12:00Z
100133,6716,83.13,2024-01-01T02:13:00Z
100134,8604,193.66,2024-01-01T02:14:00Z
100135,3548,368.94,2024-01-01T02:15:00Z
100136,4834,435.51,2024-01-01T02:16:00Z
100137,7846,90.6,2024-01-01T02:17:00Z
100138,6958,355.3,2024-01-01T02:18:00Z
100139,7095,35.93,2024-01-01T02:19:00Z
100140,3516,74.39,2024-01-01T02:20:00Z
100141,9945,196.99,2024-01-01T02:21:00Z
100142,8418,424.12,2024-01-01T02:22:00Z
100143,7989,457.64,2024-01-01T02:23:00Z
100144,8961,102.09,2024-01-01T02:24:00Z
100145,1475,105.8,2024-01-01T02:25:00Z
100146,9664,454.6,2024-01-01T02:26:00Z
100147,9305,393.37,2024-01-01T02:27:00Z
100148,5442,317.64,2024-01-01T02:28:00Z
100149,399,257.56,2024-01-01T02:29:00Z
100150,1706,108.01,2024-01-01T02:30:00Z
100151,1894,408.4,2024-01-01T02:31:00Z
100152,9746,434.27,2024-01-01T02:32:00Z
100153,3148,71.35,2024-01-01T02:33:00Z
100154,6050,78.99,2024-01-01T02:34:00Z
100155,1986,351.3,2024-01-01T02:35:00Z
100156,9561,177.64,2024-01-01T02:36:00Z
100157,8955,26.18,2024-01-01T02:37:00Z
100158,3725,130.81,2024-01-01T02:38:00Z
100159,4909,497.61,2024-01-01T02:39:00Z
100160,7082,445.29,2024-01-01T02:40:00Z
100161,3828,487.03,2024-01-01T02:41:00Z
100162,7263,194.42,2024-01-01T02:42:00Z
100163,3866,179.33,2024-01-01T02:43:00Z
100164,4796,43.11,2024-01-01T02:44:00Z
100165,3071,264.62,2024-01-01T02:45:00Z
100166,7247,39.07,2024-01-01T02:46:00Z
100167,3644,461.4,2024-01-01T02:47:00Z
100168,2659,28.92,2024-01-01T02:48:00Z
100169,6462,438.15,2024-01-01T02:49:00Z
100170,4577,340.48,2024-01-01T02:50:00Z
100171,6968,31.14,2024-01-01T02:51:00Z
100172,1191,306.61,2024-01-01T02:52:00Z
100173,6866,343.35,2024-01-01T02:53:00Z
100174,2592,432.98,2024-01-01T02:54:00Z
100175,6152,153.42,2024-01-01T02:55:00Z
100176,913,475.49,2024-01-01T02:56:00Z
100177,8825,423.04,2024-01-01T02:57:00Z
100178,8573,387.31,2024-01-01T02:58:00Z
100179,7578,138.25,2024-01-01T02:59:00Z
100180,380,290.34,2024-01-01T03:00:00Z
100181,3356,56.48,2024-01-01T03:01:00Z
100182,2945,479.95,2024-01-01T03:02:00Z
100183,5564,491.34,2024-01-01T03:03:00Z
100184,32,241.18,2024-01-01T03:04:00Z
100185,2923,293.67,2024-01-01T03:05:00Z
100186,2809,86.67,2024-01-01T03:06:00Z
100187,608,118.67,2024-01-01T03:07:00Z
100188,1011,302.47,2024-01-01T03:08:00Z
100189,466,146.91,2024-01-01T03:09:00Z
100190,4007,160.73,2024-01-01T03:10:00Z
100191,7475,97.84,2024-01-01T03:11:00Z
100192,5152,468.53,2024-01-01T03:12:00Z
100193,7634,319.59,2024-01-01T03:13:00Z
100194,4921,236.78,2024-01-01T03:14:00Z
100195,9398,104.87,2024-01-01T03:15:00Z
100196,5735,443.83,2024-01-01T03:16:00Z
100197,5137,252.17,2024-01-01T03:17:00Z
100198,2980,483.52,2024-01-01T03:18:00Z
100199,7390,152.97,2024-01-01T03:19:00Z
100200,769,274.37,2024-01-01T03:20:00Z
100201,7684,476.22,2024-01-01T03:21:00Z
100202,2828,179.41,2024-01-01T03:22:00Z
100203,4535,466.18,2024-01-01T03:23:00Z
100204,7117,203.99,2024-01-01T03:24:00Z
100205,6193,69.24,2024-01-01T03:25:00Z
100206,431,337.06,2024-01-01T03:26:00Z
100207,2310,397.74,2024-01-01T03:27:00Z
100208,2605,262.16,2024-01-01T03:28:00Z
100209,6473,36.48,2024-01-01T03:29:00Z
100210,5743,171.91,2024-01-01T03:30:00Z
100211,8855,241.17,2024-01-01T03:31:00Z
100212,939,455.27,2024-01-01T03:32:00Z
100213,5836,78.79,2024-01-01T03:33:00Z
100214,3696,246.19,2024-01-01T03:34:00Z
100215,2985,216.02,2024-01-01T03:35:00Z
100216,9155,42.08,2024-01-01T03:36:00Z
100217,5881,371.9,2024-01-01T03:37:00Z
100218,7972,364.21,2024-01-01T03:38:00Z
100219,9903,453.64,2024-01-01T03:39:00Z
100220,7399,389.98,2024-01-01T03:40:00Z
100221,7556,229.75,2024-01-01T03:41:00Z
100222,9618,468.12,2024-01-01T03:42:00Z
100223,9705,175.53,2024-01-01T03:43:00Z
100224,4114,375.68,2024-01-01T03:44:00Z
100225,2356,409.92,2024-01-01T03:45:00Z
100226,9689,325.33,2024-01-01T03:46:00Z
100227,6527,221.29,2024-01-01T03:47:00Z
100228,977,447.95,2024-01-01T03:48:00Z
100229,3552,155.32,2024-01-01T03:49:00Z
100230,9601,311.0,2024-01-01T03:50:00Z
100231,797,29.18,2024-01-01T03:51:00Z
100232,2069,167.59,2024-01-01T03:52:00Z
100233,5458,411.9,2024-01-01T03:53:00Z
100234,4695,112.97,2024-01-01T03:54:00Z
100235,8121,126.43,2024-01-01T03:55:00Z
100236,5529,302.53,2024-01-01T03:56:00Z
100237,9905,255.72,2024-01-01T03:57:00Z
100238,3304,144.23,2024-01-01T03:58:00Z
100239,5791,251.51,2024-01-01T03:59:00Z
100240,3678,61.99,2024-01-01T04:00:00Z
100241,9346,246.0,2024-01-01T04:01:00Z
100242,667,229.09,2024-01-01T04:02:00Z
100243,560,23.11,2024-01-01T04:03:00Z
100244,6940,144.07,2024-01-01T04:04:00Z
100245,6265,64.02,2024-01-01T04:05:00Z
100246,1862,270.77,2024-01-01T04:06:00Z
100247,4197,180.71,2024-01-01T04:07:00Z
100248,2703,242.28,2024-01-01T04:08:00Z
100249,7136,382.64,2024-01-01T04:09:00Z
100250,6713,136.75,2024-01-01T04:10:00Z
100251,9,424.76,2024-01-01T04:11:00Z
100252,502,467.19,2024-01-01T04:12:00Z
100253,281,295.64,2024-01-01T04:13:00Z
100254,2401,236.45,2024-01-01T04:14:00Z
100255,3663,254.94,2024-01-01T04:15:00Z
100256,145,312.53,2024-01-01T04:16:00Z
100257,2820,88.89,2024-01-01T04:17:00Z
100258,5080,374.11,2024-01-01T04:18:00Z
100259,3325,146.77,2024-01-01T04:19:00Z
100260,7861,276.54,2024-01-01T04:20:00Z
100261,869,448.78,2024-01-01T04:21:00Z
100262,9986,63.81,2024-01-01T04:22:00Z
100263,5139,75.23,2024-01-01T04:23:00Z
100264,7163,113.28,2024-01-01T04:24:00Z
100265,2235,379.34,2024-01-01T04:25:00Z
100266,8097,449.65,2024-01-01T04:26:00Z
100267,1798,375.97,2024-01-01T04:27:00Z
100268,1870,414.55,2024-01-01T04:28:00Z
100269,8280,75.94,2024-01-01T04:29:00Z
100270,4866,119.26,2024-01-01T04:30:00Z
100271,9924,46.69,2024-01-01T04:31:00Z
100272,4281,98.13,2024-01-01T04:32:00Z
100273,6711,419.52,2024-01-01T04:33:00Z
100274,8587,47.29,2024-01-01T04:34:00Z
100275,4382,275.44,2024-01-01T04:35:00Z
100276,9009,273.19,2024-01-01T04:36:00Z
100277,2478,333.96,2024-01-01T04:37:00Z
100278,2806,339.04,2024-01-01T04:38:00Z
100279,8093,338.49,2024-01-01T04:39:00Z
100280,7780,106.69,2024-01-01T04:40:00Z
100281,3101,260.14,2024-01-01T04:41:00Z
100282,328,445.22,2024-01-01T04:42:00Z
100283,6192,193.25,2024-01-01T04:43:00Z
100284,7202,479.2,2024-01-01T04:44:00Z
100285,6861,28.96,2024-01-01T04:45:00Z
100286,4231,133.66,2024-01-01T04:46:00Z
100287,1266,390.46,2024-01-01T04:47:00Z
100288,5424,222.81,2024-01-01T04:48:00Z
100289,9678,441.45,2024-01-01T04:49:00Z
100290,4080,283.13,2024-01-01T04:50:00Z
100291,9275,198.4,2024-01-01T04:51:00Z
100292,6454,193.41,2024-01-01T04:52:00Z
100293,27,331.27,2024-01-01T04:53:00Z
100294,4360,460.81,2024-01-01T04:54:00Z
100295,6852,62.95,2024-01-01T04:55:00Z
100296,8981,34.77,2024-01-01T04:56:00Z
100297,3697,125.51,2024-01-01T04:57:00Z
100298,9674,321.99,2024-01-01T04:58:00Z
100299,7049,331.88,2024-01-01T04:59:00Z
100300,3149,69.98,2024-01-01T05:00:00Z
100301,2763,260.17,2024-01-01T05:01:00Z
100302,2049,275.2,2024-01-01T05:02:00Z
100303,9269,66.84,2024-01-01T05:03:00Z
100304,1266,170.7,2024-01-01T05:04:00Z
100305,3466,29.33,2024-01-01T05:05:00Z
100306,5515,113.34,2024-01-01T05:06:00Z
100307,7701,238.32,2024-01-01T05:07:00Z
100308,9033,116.47,2024-01-01T05:08:00Z
100309,4315,214.37,2024-01-01T05:09:00Z
100310,3365,175.38,2024-01-01T05:10:00Z
100311,582,257.98,2024-01-01T05:11:00Z
100312,4763,58.44,2024-01-01T05:12:00Z
100313,6745,496.99,2024-01-01T05:13:00Z
100314,9946,110.49,2024-01-01T05:14:00Z
100315,4216,97.49,2024-01-01T05:15:00Z
100316,6381,131.11,2024-01-01T05:16:00Z
100317,3794,120.11,2024-01-01T05:17:00Z
100318,5769,481.64,2024-01-01T05:18:00Z
100319,8391,398.73,2024-01-01T05:19:00Z
100320,4205,103.41,2024-01-01T05:20:00Z
100321,874,97.63,2024-01-01T05:21:00Z
100322,8739,389.49,2024-01-01T05:22:00Z
100323,9247,260.19,2024-01-01T05:23:00Z
100324,763,11.71,2024-01-01T05:24:00Z
100325,2671,191.59,2024-01-01T05:25:00Z
100326,3306,344.17,2024-01-01T05:26:00Z
100327,7665,134.38,2024-01-01T05:27:00Z
100328,5992,282.63,2024-01-01T05:28:00Z
100329,7530,155.03,2024-01-01T05:29:00Z
100330,673,16.32,2024-01-01T05:30:00Z
100331,7590,220.59,2024-01-01T05:31:00Z
100332,235,466.75,2024-01-01T05:32:00Z
100333,6785,10.87,2024-01-01T05:33:00Z
100334,5628,276.61,2024-01-01T05:34:00Z
100335,4413,30.12,2024-01-01T05:35:00Z
100336,8280,236.13,2024-01-01T05:36:00Z
100337,1132,45.72,2024-01-01T05:37:00Z
100338,7444,87.07,2024-01-01T05:38:00Z
100339,2973,160.77,2024-01-01T05:39:00Z
100340,2595,228.99,2024-01-01T05:40:00Z
100341,4785,404.93,2024-01-01T05:41:00Z
100342,7643,88.16,2024-01-01T05:42:00Z
100343,1261,324.06,2024-01-01T05:43:00Z
100344,6279,106.22,2024-01-01T05:44:00Z
100345,5437,379.95,2024-01-01T05:45:00Z
100346,4368,305.07,2024-01-01T05:46:00Z
100347,34,72.79,2024-01-01T05:47:00Z
100348,8328,10.27,2024-01-01T05:48:00Z
100349,9155,119.42,2024-01-01T05:49:00Z
100350,4695,13.43,2024-01-01T05:50:00Z
100351,4640,348.72,2024-01-01T05:51:00Z
100352,679,453.7,2024-01-01T05:52:00Z
100353,4711,478.69,2024-01-01T05:53:00Z
100354,203,445.4,2024-01-01T05:54:00Z
100355,8513,210.71,2024-01-01T05:55:00Z
100356,8798,292.66,2024-01-01T05:56:00Z
100357,9818,328.89,2024-01-01T05:57:00Z
100358,372,437.63,2024-01-01T05:58:00Z
100359,2731,413.39,2024-01-01T05:59:00Z
100360,2691,390.12,2024-01-01T06:00:00Z
100361,9516,344.11,2024-01-01T06:01:00Z
100362,1848,285.59,2024-01-01T06:02:00Z
100363,8611,67.83,2024-01-01T06:03:00Z
100364,3447,13.62,2024-01-01T06:04:00Z
100365,6168,95.77,2024-01-01T06:05:00Z
100366,1051,469.53,2024-01-01T06:06:00Z
100367,474,320.44,2024-01-01T06:07:00Z
100368,74,482.92,2024-01-01T06:08:00Z
100369,7386,436.13,2024-01-01T06:09:00Z
100370,7862,449.22,2024-01-01T06:10:00Z
100371,1098,386.5,2024-01-01T06:11:00Z
100372,8175,490.59,2024-01-01T06:12:00Z
100373,3820,266.33,2024-01-01T06:13:00Z
100374,5983,209.73,2024-01-01T06:14:00Z
100375,2195,380.19,2024-01-01T06:15:00Z
100376,6147,261.5,2024-01-01T06:16:00Z
100377,4223,160.21,2024-01-01T06:17:00Z
100378,4076,458.31,2024-01-01T06:18:00Z
100379,4423,252.18,2024-01-01T06:19:00Z
100380,1662,210.57,2024-01-01T06:20:00Z
100381,7573,79.82,2024-01-01T06:21:00Z
100382,2989,176.29,2024-01-01T06:22:00Z
100383,6286,372.21,2024-01-01T06:23:00Z
100384,9823,108.55,2024-01-01T06:24:00Z
100385,6986,120.02,2024-01-01T06:25:00Z
100386,9514,403.61,2024-01-01T06:26:00Z
100387,1542,310.16,2024-01-01T06:27:00Z
100388,693,423.13,2024-01-01T06:28:00Z
100389,8659,402.22,2024-01-01T06:29:00Z
100390,9775,447.98,2024-01-01T06:30:00Z
100391,8387,35.39,2024-01-01T06:31:00Z
100392,1576,270.91,2024-01-01T06:32:00Z
100393,5319,381.03,2024-01-01T06:33:00Z
100394,1923,372.82,2024-01-01T06:34:00Z
100395,7548,163.66,2024-01-01T06:35:00Z
100396,6222,62.39,2024-01-01T06:36:00Z
100397,759,476.51,2024-01-01T06:37:00Z
100398,9820,274.52,2024-01-01T06:38:00Z
100399,8627,39.56,2024-01-01T06:39:00Z
100400,107,282.11,2024-01-01T06:40:00Z
100401,7803,143.36,2024-01-01T06:41:00Z
100402,2753,53.29,2024-01-01T06:42:00Z
100403,6233,368.08,2024-01-01T06:43:00Z
100404,9142,65.65,2024-01-01T06:44:00Z
100405,9711,275.68,2024-01-01T06:45:00Z
100406,1256,348.79,2024-01-01T06:46:00Z
100407,1698,445.63,2024-01-01T06:47:00Z
100408,930,313.96,2024-01-01T06:48:00Z
100409,3506,75.9,2024-01-01T06:49:00Z
100410,764,301.3,2024-01-01T06:50:00Z
100411,9964,377.64,2024-01-01T06:51:00Z
100412,8942,414.95,2024-01-01T06:52:00Z
100413,4855,274.59,2024-01-01T06:53:00Z
100414,9322,197.66,2024-01-01T06:54:00Z
100415,8919,297.82,2024-01-01T06:55:00Z
100416,6931,143.03,2024-01-01T06:56:00Z
100417,8522,157.33,2024-01-01T06:57:00Z
100418,8391,36.89,2024-01-01T06:58:00Z
100419,1388,205.71,2024-01-01T06:59:00Z
100420,760,170.05,2024-01-01T07:00:00Z
100421,7141,445.22,2024-01-01T07:01:00Z
100422,6140,162.02,2024-01-01T07:02:00Z
100423,734,373.58,2024-01-01T07:03:00Z
100424,4550,377.78,2024-01-01T07:04:00Z
100425,4608,180.45,2024-01-01T07:05:00Z
100426,196,248.03,2024-01-01T07:06:00Z
100427,4478,446.82,2024-01-01T07:07:00Z
100428,226,345.74,2024-01-01T07:08:00Z
100429,9463,231.99,2024-01-01T07:09:00Z
100430,2188,120.01,2024-01-01T07:10:00Z
100431,3442,66.19,2024-01-01T07:11:00Z
100432,5440,161.57,2024-01-01T07:12:00Z
100433,476,137.17,2024-01-01T07:13:00Z
100434,5472,333.74,2024-01-01T07:14:00Z
100435,111,244.16,2024-01-01T07:15:00Z
100436,3512,71.35,2024-01-01T07:16:00Z
100437,6139,13.31,2024-01-01T07:17:00Z
100438,3437,85.51,2024-01-01T07:18:00Z
100439,3254,113.38,2024-01-01T07:19:00Z
100440,5374,399.76,2024-01-01T07:20:00Z
100441,145,161.26,2024-01-01T07:21:00Z
100442,4034,218.45,2024-01-01T07:22:00Z
100443,9871,120.86,2024-01-01T07:23:00Z
100444,9526,202.38,2024-01-01T07:24:00Z
100445,6192,89.07,2024-01-01T07:25:00Z
100446,9072,132.58,2024-01-01T07:26:00Z
100447,2379,444.61,2024-01-01T07:27:00Z
100448,3018,32.28,2024-01-01T07:28:00Z
100449,4622,386.82,2024-01-01T07:29:00Z
100450,2181,348.61,2024-01-01T07:30:00Z
100451,7037,485.06,2024-01-01T07:31:00Z
100452,5303,256.5,2024-01-01T07:32:00Z
100453,2817,449.55,2024-01-01T07:33:00Z
100454,9227,45.02,2024-01-01T07:34:00Z
100455,9282,44.54,2024-01-01T07:35:00Z
100456,8304,486.5,2024-01-01T07:36:00Z
100457,7843,12.32,2024-01-01T07:37:00Z
100458,4598,320.91,2024-01-01T07:38:00Z
100459,7312,300.48,2024-01-01T07:39:00Z
100460,8571,21.18,2024-01-01T07:40:00Z
100461,3414,365.64,2024-01-01T07:41:00Z
100462,9607,269.73,2024-01-01T07:42:00Z
100463,4296,470.54,2024-01-01T07:43:00Z
100464,5202,222.86,2024-01-01T07:44:00Z
100465,2035,398.08,2024-01-01T07:45:00Z
100466,3628,281.94,2024-01-01T07:46:00Z
100467,8960,425.37,2024-01-01T07:47:00Z
100468,3849,476.77,2024-01-01T07:48:00Z
100469,102,25.42,2024-01-01T07:49:00Z
100470,2564,197.86,2024-01-01T07:50:00Z
100471,3306,174.59,2024-01-01T07:51:00Z
100472,3713,206.35,2024-01-01T07:52:00Z
100473,264,403.37,2024-01-01T07:53:00Z
100474,3557,151.05,2024-01-01T07:54:00Z
100475,8440,300.62,2024-01-01T07:55:00Z
100476,304,297.01,2024-01-01T07:56:00Z
100477,1910,36.03,2024-01-01T07:57:00Z
100478,723,429.78,2024-01-01T07:58:00Z
100479,1242,70.65,2024-01-01T07:59:00Z
100480,2708,264.97,2024-01-01T08:00:00Z
100481,8131,493.92,2024-01-01T08:01:00Z
100482,9151,304.98,2024-01-01T08:02:00Z
100483,9489,326.32,2024-01-01T08:03:00Z
100484,6185,449.88,2024-01-01T08:04:00Z
100485,5276,156.5,2024-01-01T08:05:00Z
100486,4495,335.32,2024-01-01T08:06:00Z
100487,503,86.97,2024-01-01T08:07:00Z
100488,1886,25.24,2024-01-01T08:08:00Z
100489,1573,379.96,2024-01-01T08:09:00Z
100490,7413,136.04,2024-01-01T08:10:00Z
100491,4884,104.43,2024-01-01T08:11:00Z
100492,2063,204.55,2024-01-01T08:12:00Z
100493,2072,184.8,2024-01-01T08:13:00Z
100494,48,100.99,2024-01-01T08:14:00Z
100495,5076,71.62,2024-01-01T08:15:00Z
100496,8268,83.4,2024-01-01T08:16:00Z
100497,7187,115.21,2024-01-01T08:17:00Z
100498,6155,20.23,2024-01-01T08:18:00Z
100499,5571,229.64,2024-01-01T08:19:00Z
100500,8831,356.51,2024-01-01T08:20:00Z
100501,102,171.27,2024-01-01T08:21:00Z
100502,2678,103.6,2024-01-01T08:22:00Z
100503,9882,97.02,2024-01-01T08:23:00Z
100504,3715,12.86,2024-01-01T08:24:00Z
100505,6047,494.04,2024-01-01T08:25:00Z
100506,9658,389.5,2024-01-01T08:26:00Z
100507,2350,219.97,2024-01-01T08:27:00Z
100508,1038,300.62,2024-01-01T08:28:00Z
100509,4383,71.27,2024-01-01T08:29:00Z
100510,6107,249.12,2024-01-01T08:30:00Z
100511,2785,194.9,2024-01-01T08:31:00Z
100512,5075,75.11,2024-01-01T08:32:00Z
100513,8224,264.4,2024-01-01T08:33:00Z
100514,4270,20.26,2024-01-01T08:34:00Z
100515,7895,126.91,2024-01-01T08:35:00Z
100516,530,26.27,2024-01-01T08:36:00Z
100517,1622,362.53,2024-01-01T08:37:00Z
100518,2919,122.25,2024-01-01T08:38:00Z
100519,317,25.7,2024-01-01T08:39:00Z
100520,7174,303.21,2024-01-01T08:40:00Z
100521,6419,339.05,2024-01-01T08:41:00Z
100522,5575,444.86,2024-01-01T08:42:00Z
100523,1940,110.49,2024-01-01T08:43:00Z
100524,3669,181.73,2024-01-01T08:44:00Z
100525,9418,88.3,2024-01-01T08:45:00Z
100526,7248,177.64,2024-01-01T08:46:00Z
100527,9771,229.0,2024-01-01T08:47:00Z
100528,1032,31.88,2024-01-01T08:48:00Z
100529,5117,188.37,2024-01-01T08:49:00Z
100530,9625,227.08,2024-01-01T08:50:00Z
100531,2405,181.79,2024-01-01T08:51:00Z
100532,3552,370.75,2024-01-01T08:52:00Z
100533,6978,150.37,2024-01-01T08:53:00Z
100534,2665,144.77,2024-01-01T08:54:00Z
100535,3613,425.54,2024-01-01T08:55:00Z
100536,5649,223.64,2024-01-01T08:56:00Z
100537,1739,446.67,2024-01-01T08:57:00Z
100538,6169,409.36,2024-01-01T08:58:00Z
100539,7399,402.47,2024-01-01T08:59:00Z
100540,450,314.2,2024-01-01T09:00:00Z
100541,5883,361.93,2024-01-01T09:01:00Z
100542,7006,262.46,2024-01-01T09:02:00Z
100543,5519,199.0,2024-01-01T09:03:00Z
100544,853,89.07,2024-01-01T09:04:00Z
100545,852,381.33,2024-01-01T09:05:00Z
100546,5304,155.23,2024-01-01T09:06:00Z
100547,9140,273.64,2024-01-01T09:07:00Z
100548,1014,20.45,2024-01-01T09:08:00Z
100549,3854,400.19,2024-01-01T09:09:00Z
100550,1305,95.18,2024-01-01T09:10:00Z
100551,4819,490.13,2024-01-01T09:11:00Z
100552,5410,326.52,2024-01-01T09:12:00Z
100553,4435,478.15,2024-01-01T09:13:00Z
100554,4256,460.11,2024-01-01T09:14:00Z
100555,9575,233.99,2024-01-01T09:15:00Z
100556,7144,109.24,2024-01-01T09:16:00Z
100557,8850,457.44,2024-01-01T09:17:00Z
100558,1787,324.99,2024-01-01T09:18:00Z
100559,8425,45.7,2024-01-01T09:19:00Z
100560,4570,428.76,2024-01-01T09:20:00Z
100561,45,131.0,2024-01-01T09:21:00Z
